Date 		Day	Time		Pred(Ft)	Pred(cm)	High/Low
2015/12/31	Thu	05:05 AM	6.2		189		H
2015/12/31	Thu	11:15 AM	2.4		73		L
2015/12/31	Thu	04:39 PM	5.3		162		H
2015/12/31	Thu	11:12 PM	1.2		37		L
2016/01/01	Fri	05:54 AM	6.1		186		H
2016/01/01	Fri	12:21 PM	2.4		73		L
2016/01/01	Fri	05:42 PM	4.9		149		H
2016/01/02	Sat	12:02 AM	1.6		49		L
2016/01/02	Sat	06:40 AM	6.1		186		H
2016/01/02	Sat	01:27 PM	2.1		64		L
2016/01/02	Sat	06:54 PM	4.6		140		H
2016/01/03	Sun	12:53 AM	2.1		64		L
2016/01/03	Sun	07:27 AM	6.2		189		H
2016/01/03	Sun	02:30 PM	1.8		55		L
2016/01/03	Sun	08:12 PM	4.5		137		H
2016/01/04	Mon	01:49 AM	2.4		73		L
2016/01/04	Mon	08:14 AM	6.4		195		H
2016/01/04	Mon	03:26 PM	1.4		43		L
2016/01/04	Mon	09:25 PM	4.6		140		H
2016/01/05	Tue	02:47 AM	2.6		79		L
2016/01/05	Tue	08:59 AM	6.6		201		H
2016/01/05	Tue	04:14 PM	0.9		27		L
2016/01/05	Tue	10:26 PM	4.9		149		H
2016/01/06	Wed	03:42 AM	2.7		82		L
2016/01/06	Wed	09:43 AM	6.8		207		H
2016/01/06	Wed	04:57 PM	0.4		12		L
2016/01/06	Wed	11:16 PM	5.2		158		H
2016/01/07	Thu	04:31 AM	2.7		82		L
2016/01/07	Thu	10:25 AM	7.1		216		H
2016/01/07	Thu	05:37 PM	0.0		0		L
2016/01/08	Fri	12:00 AM	5.5		168		H
2016/01/08	Fri	05:17 AM	2.7		82		L
2016/01/08	Fri	11:07 AM	7.3		223		H
2016/01/08	Fri	06:16 PM	-0.4		-12		L
2016/01/09	Sat	12:40 AM	5.8		177		H
2016/01/09	Sat	06:01 AM	2.6		79		L
2016/01/09	Sat	11:48 AM	7.5		229		H
2016/01/09	Sat	06:54 PM	-0.7		-21		L
2016/01/10	Sun	01:19 AM	6.0		183		H
2016/01/10	Sun	06:45 AM	2.4		73		L
2016/01/10	Sun	12:29 PM	7.6		232		H
2016/01/10	Sun	07:32 PM	-0.8		-24		L
2016/01/11	Mon	01:58 AM	6.2		189		H
2016/01/11	Mon	07:29 AM	2.3		70		L
2016/01/11	Mon	01:12 PM	7.5		229		H
2016/01/11	Mon	08:11 PM	-0.9		-27		L
2016/01/12	Tue	02:38 AM	6.4		195		H
2016/01/12	Tue	08:16 AM	2.1		64		L
2016/01/12	Tue	01:57 PM	7.3		223		H
2016/01/12	Tue	08:51 PM	-0.7		-21		L
2016/01/13	Wed	03:19 AM	6.6		201		H
2016/01/13	Wed	09:06 AM	2.0		61		L
2016/01/13	Wed	02:45 PM	6.9		210		H
2016/01/13	Wed	09:33 PM	-0.4		-12		L
2016/01/14	Thu	04:01 AM	6.7		204		H
2016/01/14	Thu	10:01 AM	1.8		55		L
2016/01/14	Thu	03:39 PM	6.4		195		H
2016/01/14	Thu	10:17 PM	0.1		3		L
2016/01/15	Fri	04:47 AM	6.8		207		H
2016/01/15	Fri	11:03 AM	1.7		52		L
2016/01/15	Fri	04:41 PM	5.8		177		H
2016/01/15	Fri	11:05 PM	0.7		21		L
2016/01/16	Sat	05:37 AM	6.9		210		H
2016/01/16	Sat	12:12 PM	1.5		46		L
2016/01/16	Sat	05:53 PM	5.3		162		H
2016/01/16	Sat	11:59 PM	1.3		40		L
2016/01/17	Sun	06:31 AM	7.0		213		H
2016/01/17	Sun	01:25 PM	1.2		37		L
2016/01/17	Sun	07:16 PM	5.0		152		H
2016/01/18	Mon	01:01 AM	1.9		58		L
2016/01/18	Mon	07:28 AM	7.1		216		H
2016/01/18	Mon	02:37 PM	0.7		21		L
2016/01/18	Mon	08:42 PM	5.0		152		H
2016/01/19	Tue	02:10 AM	2.3		70		L
2016/01/19	Tue	08:27 AM	7.2		219		H
2016/01/19	Tue	03:42 PM	0.3		9		L
2016/01/19	Tue	09:59 PM	5.2		158		H
2016/01/20	Wed	03:18 AM	2.5		76		L
2016/01/20	Wed	09:24 AM	7.4		226		H
2016/01/20	Wed	04:38 PM	-0.2		-6		L
2016/01/20	Wed	11:02 PM	5.5		168		H
2016/01/21	Thu	04:21 AM	2.5		76		L
2016/01/21	Thu	10:18 AM	7.5		229		H
2016/01/21	Thu	05:28 PM	-0.5		-15		L
2016/01/21	Thu	11:54 PM	5.8		177		H
2016/01/22	Fri	05:17 AM	2.4		73		L
2016/01/22	Fri	11:08 AM	7.6		232		H
2016/01/22	Fri	06:13 PM	-0.7		-21		L
2016/01/23	Sat	12:38 AM	6.1		186		H
2016/01/23	Sat	06:07 AM	2.3		70		L
2016/01/23	Sat	11:54 AM	7.5		229		H
2016/01/23	Sat	06:55 PM	-0.7		-21		L
2016/01/24	Sun	01:19 AM	6.3		192		H
2016/01/24	Sun	06:53 AM	2.1		64		L
2016/01/24	Sun	12:38 PM	7.4		226		H
2016/01/24	Sun	07:33 PM	-0.6		-18		L
2016/01/25	Mon	01:56 AM	6.3		192		H
2016/01/25	Mon	07:37 AM	2.0		61		L
2016/01/25	Mon	01:19 PM	7.1		216		H
2016/01/25	Mon	08:10 PM	-0.4		-12		L
2016/01/26	Tue	02:32 AM	6.4		195		H
2016/01/26	Tue	08:19 AM	2.0		61		L
2016/01/26	Tue	01:59 PM	6.8		207		H
2016/01/26	Tue	08:45 PM	-0.1		-3		L
2016/01/27	Wed	03:06 AM	6.3		192		H
2016/01/27	Wed	09:01 AM	1.9		58		L
2016/01/27	Wed	02:39 PM	6.4		195		H
2016/01/27	Wed	09:19 PM	0.3		9		L
2016/01/28	Thu	03:41 AM	6.3		192		H
2016/01/28	Thu	09:45 AM	2.0		61		L
2016/01/28	Thu	03:21 PM	5.9		180		H
